,Heading,Article,Date
1546,Tokyo stocks rise in early trade on weaker yen Toyota soar,"strong>TOKYO: Tokyo stocks climbed in early trading Friday as a weaker yen boosted exporters, while Toyota surged on forecast-beating quarterly net profits.</strongThe world´s biggest automaker said Thursday it posted a nearly 15 percent drop in its April-June net profit, citing a sharp rally in the yen and falling North American vehicle sales.Toyota, which also trimmed its full-year profit and sales forecast, soared 2.61 percent to 5,840 yen in early deals.The Bank of England Thursday announced its first interest rate cut in more than seven years and a fresh stimulus package to counter the fallout from Britain´s vote to quit the European Union.Those measures lifted the mood among Japanese investors, who are now focused on US monthly employment figures due later in the day, analysts said.""The BoE (Bank of England) has taken the stance that they´ll do everything they can in terms of stimulus in the face of uncertainty,"" Juichi Wako, a senior strategist at Nomura Holdings, told Bloomberg News.""An easing situation is more likely to continue across the globe, and this is positive for Japanese stocks.""In early deals, the benchmark Nikkei 225 index gained 0.51 percent, or 82.73 points, to 16,337.62, building on a sharp gain of more than one percent the previous day.The broader Topix index of all first-section shares was up 0.42 percent, or 5.39 points, at 1,288.38.In forex markets, the dollar jumped to 101.33 yen from 101.22 yen Thursday in New York.<br/>In European stock trading, London, Frankfurt and Paris rose on Thursday on the news of the BoE measures.On Wall Street, the Dow closed down less than 0.1 percent, while the broad-based S&amp;P 500 ticked less than 0.1 percent higher and the tech-rich Nasdaq advanced 0.1 percent.",2016-08-05
1547,Strong US July jobs numbers a likely boost for Cli,"WASHINGTON:  The US economy generated more than a quarter of a million jobs in July -- a bigger-than-expected gain that will likely provide valuable ammunition for Democrat Hillary Clinton as she and Donald Trump battle for the White House.The new numbers released Friday -- which sent US stocks soaring -- were also accompanied by upward revisions of May and June data in a sign the job market in the world´s largest economy is healthier than previously thought.Non-farm payrolls rose by 255,000 positions in July while the unemployment rate remained stable at 4.9 percent, the Labor Department reported. Forecasts had called for a much more modest increase of 185,000 jobs.Private businesses and government employers added 292,000 jobs in June, not the 287,000 first reported, and 24,000 jobs in May, not the very low, downward-revised figure of 11,000.""This month´s report confirms that the Great Recession is indeed in the nation´s rearview mirror -- the economy has added jobs for 70 consecutive months, the longest streak on record,"" Labor Secretary Thomas Perez said.On the White House campaign trail, Clinton has painted a picture of optimism and jobs growth, while Trump has cast America as an economy in decline -- Friday´s numbers can only help Clinton.The Trump campaign sought to downplay the news, with senior policy advisor Stephen Miller saying the recovery was the weakest since the Great Depression, with conditions largely disfavoring working people.""Entire communities have been wiped out by off-shoring,"" said Miller.<br/>""Many workers today are earning less than they did in 1970, and household incomes are down nearly $2,000 under the Obama administration.""/><strong> Fed rate hike?</strongThe closely watched jobs figures help fill out a complex economic picture for market observers eager for signs of whether the US Federal Reserve will raise interest rates later this year.Monetary policy makers earlier this year veered off a course of planned, successive rate hikes as some signs emerged that the American economy might not be on sure footing.The Commerce Department said last month that economic activity had grown by a paltry 1.2 percent in the second quarter.But that data was at odds with Friday´s rosier jobs report. ""Employment rose in all sectors of the economy, helping to keep the rate of unemployment at 4.9 percent amid an increase in the number of people entering the labor market looking for work,"" said Chris Williamson of IHS Markit.""Adding to the good news was an improvement in pay growth. Average hourly earnings rose 0.3 percent against expectations of a mere 0.2 percent rise,"" said Williamson, noting that pay growth was still below pre-crisis rates.Gains were strongest in professional and business services, with 70,000 new jobs added, and in health care, where 43,000 new jobs added. Together, both sectors have added nearly a million jobs in the last 12 months, according to the Labor Department.Employment in mining continued to fall, losing 6,000 positions from the prior month and putting the industry down 220,000 jobs since a peak hit in September 2014.The average workweek rose 0.1 hours to 34.5 hours while average hourly earnings inched upwards by 8 cents to $25.69, up 2.6 percent since the start of the year./><strong>Stocks up</strongEquities markets reacted favorably to the news, with the S&amp;P 500 closing at 2,182.87, about four points above the all-time record set last month.The tech-rich Nasdaq Composite also set a record, closing up 1.1 percent at 5,221.12 while the Dow Jones Industrial Average finished up 1.0 percent at 18,543.53, only 12 points from its record.""We believe the trend remains more than strong enough to keep the unemployment rate declining over time,"" said Jim O´Sullivan of High Frequency Economics.""Today´s report helps the case for more Fed tightening before too long -- if strength is sustained -- although officials are being ultra cautious/dovish as they worry about downside risks,"" he added.",2016-08-06
1548,Arianna Huffington leave Huffington P,"strong>WASHINGTON: Huffington Post co-founder Arianna Huffington said on Thursday she would leave the company to focus on running her new venture, health and wellness startup Thrive Global.</strong""I thought HuffPost would be my last act. But I've decided to step down as HuffPost's editor-in-chief to run my new venture, Thrive Global,"" she tweeted.Thrive Global, which will offer services to companies to improve the well-being of their employees, recently closed a Series A funding round ahead of a launch in the fall.Verizon Communications Inc owns the Huffington Post through AOL, which bought the liberal American online news aggregator and blog for $315 million in February 2011.",2016-08-11
1549,Oil prices surge on Saudi ministers talk of possible acti,"strong>NEW YORK: Oil prices rose sharply on Thursday after Saudi Arabia´s energy minister said producers may take action to help rebalance global oil markets.</strongThe remarks helped send prices up more than 4 percent in New York, where a barrel of West Texas Intermediate for September delivery closed up $1.78 at $43.49, after having lost more than a dollar the day before.In London, North Sea Brent for October delivery rose $1.99 to $46.04 a barrel on the Intercontinental Exchange.<br/>Matt Smith of ClipperData said the whipsawing of prices was ""crazy.""Smith said oil prices had dropped Wednesday after Saudi oil production figures showed the country´s output had risen last month to nearly 11 million barrels per day.But in remarks reported Thursday, Saudi oil minister Khalid al-Falih said an informal meeting of the Organization of the Petroleum Exporting Countries (OPEC) scheduled for next month would be the occasion for producers to discuss ""any possible action.""Saudi Arabia´s offer to take action was ""completely at odds with this production data,"" Smith told AFP.<br/>James Williams of WTRG Economics said markets were in an ""ongoing battle.""""It´s between reality and possibilities, if you will,"" he told AFP. ""The reality is the market continues to be oversupplied, with (a) really big increase in Saudi output last month.""",2016-08-12
1550,Oil halts rally market weighs chance output freez,"strong>SINGAPORE: Oil prices eased in Asia Tuesday as doubts emerged that Saudi Arabia and other major producers would reach an agreement to freeze output during a meeting next month.</strongMembers of the Organization of Petroleum Exporting Countries (OPEC) as well as non-members are scheduled to meet informally in Algeria in September, and Saudi Arabia´s oil minister Khalid al-Falih has hinted that producers could discuss actions to stabilise prices.His remarks last week sparked a price rally as they were widely seen as a suggestion that OPEC could revive talks on trimming high output levels.Prices continued their rise in New York Monday after Russian Energy Minister Alexander Novak said his country was working with Saudi Arabia to achieve oil market stability -- suggesting a possible production freeze in cooperation with OPEC.But analysts said there were doubts an accord would be reached.""Some doubt about a possible deal to freeze output could have set in,"" IG Markets Singapore analyst Bernard Aw told AFP.Aw recalled that a previous attempt to freeze output at January 2016 levels failed in April after Saudi Arabia said it wanted all producers, including Iran, to be part of the agreement.Iran had refused, saying it needed to regain market share lost during years of Western economic sanctions over its nuclear ambitions. The sanctions were lifted in January.""Investors are wondering: if Iran doesn´t participate in any such discussions, would Saudi Arabia still be amenable?"" Aw said.At around 0700 GMT, US benchmark West Texas Intermediate for delivery in September was down 36 cents, or 0.79 percent, to $45.38 and Brent crude for October dropped 41 cents, or 0.85 percent, to $47.94.Nigerian Petroleum Minister of State Emmanuel Kachikwu in a Twitter post Monday also voiced doubts about output cuts by OPEC.""On oil production cuts by OPEC, optimism on my part is quite sparse,"" he said. OPEC member Nigeria is Africa´s biggest oil exporter.Oil prices had entered a ""bear"" market at the start of the month on oversupply concerns, falling more than 20 percent and closing below $40 a barrel for the first time since April.Any agreement to curb production would help rebalance the crude oil market, where output has been running ahead of demand.""The chances of a deal actually occurring at next month´s OPEC meeting are minimal,"" Angus Nicholson, a strategist at IG Markets, said in an email commentary.""The Saudis are happy to commit to some sort of OPEC-wide supply freeze deal so long as Iran is party to it. And Iran refuses to agree to any deal that will inhibit them from lifting their oil output to pre-sanctions levels.""",2016-08-16
1551,Tokyo stocks up in early trade despite global ,"strong>TOKYO: Tokyo stocks rose early Wednesday in thin trade, snapping two sessions of decline despite a negative lead from global financial markets.</strongOn Wall Street, all three major indices moved off record highs Tuesday after senior US central banker William Dudley suggested an interest rate hike could possibly come as early as next month.The greenback rose to 100.42 yen from 100.30 yen in New York, after briefly touching as low as 99.54 yen in overnight trading, falling under the 100 level for only the second time this year.But the dollar´s position remained largely unaffected by Dudley´s remarks. ""Considering how much the yen has strengthened, Japanese shares are showing resilience,"" Chihiro Ohta, a senior strategist with SMBC Nikko Securities, told Bloomberg News.""However, there aren´t any reasons to actively buy Japanese stocks right now.""About 30 minutes after the opening bell, the benchmark Nikkei 225 index gained 0.48 percent, or 79.27 points, to 16,675.78, rebounding after ending two sessions in the red.The broader Topix index of all first-section shares advanced 0.39 percent, or 5.03 points, to 1,303.50.Trading was thin with many investors away for Japan´s week-long, though unofficial, Obon holiday.<br/>In early share trading, Toyota tacked on 1.60 percent to 5,969 yen, while Uniqlo operator Fast Retailing, a market heavyweight, jumped 1.36 percent to 37,000 yen.Among other gainers, energy explorer Inpex soared nearly four percent to 870.3 yen and refiner JX Holdings added about one percent to 381.2 yen.On Wall Street on Tuesday, the Dow ended down 0.5 percent, the broad-based S&amp;P 500 shed 0.6 percent and the tech-rich Nasdaq lost 0.7 percent.",2016-08-17
1552,New York global property crown London Brexit fear,"strong>NEW YORK: New York has knocked off London as the world's premier city for foreign investment in commercial real estate due to fears the vote to leave the European Union would diminish the British capital's appeal as a global financial center.</strongData on cross-border property transactions indicate greater unease among investors prior to the referendum, which voters unexpectedly approved on June 23, than had been captured in the capital markets prior to the vote.Cross-border capital flows into London real estate fell 44 percent in this year's first six months from the same period in 2015, according to data from brokerage Jones Lang LaSalle Inc.Property investors feared Britain's exit from the EU would erode London's role as a premier financial center and reduce the value of their investments, the majority of which are office buildings.Norway's sovereign wealth fund, one of Britain's largest foreign investors, said on Wednesday it cut the value of its UK property portfolio by 5 percent because of the vote.""It would be fair to say that London bore the brunt of Brexit fears,"" David Green-Morgan, director of global capital markets research for JLL in Chicago, said in an interview. ""The big fear is that London will lose a lot of the financial service jobs that has made it such a global financial center.""New York gained $10.3 billion in cross-border investments in the first six months of the year compared with the $6.9 billion that London took in, data from JLL show. In the same year-ago period, London garnered $12.4 billion while $11.3 billion flowed to New York, according to JLL.The 8.9 percent decline in cross-border investment New York experienced is in-line with the roughly 10 percent decline major cities experienced this year when compared to 2015, a stellar year in property investment around the world.Concerns the UK market was coming toward the end of the cycle amid signs pricing was reaching unsustainable levels only partially explains the drop-off in investment flows to Britain, the largest decline since the financial crisis.It is now obvious that people were becoming increasingly nervous about the Brexit vote, Green-Morgan said.Britain is viewed as more investor friendly than the United States because of beneficial tax arrangements. However, underlying property fundamentals - strong demand and not too much supply - must be in place to attract capital, as now is the case for the U.S. office and multifamily real estate sectors.The uncertainties created by Brexit has made investors more cautious about Britain and to a lesser extent about Europe, said Ken McCarthy, senior managing director, regional research director for Tri-State New York at Cushman &amp; Wakefield. Negative interest rates across the euro zone also are driving investment to the United States, he said.""You're going to see people look to redeploy their capital elsewhere and the big one will be the U.S.. Most likely given that it is overseas capital, it will focus on gateway cities,"" McCarthy said, citing New York, Boston, Washington, Los Angeles and San Francisco.",2016-08-20
1553,Tokyo stocks open higher on weaker y,"strong>TOKYO: Tokyo stocks opened higher on Monday as the yen weakened further on speculation over central bank monetary policies and lifted investor sentiment.</strongThe Japanese currency fell against the dollar for a second day after US Fed Vice Chairman Stanley Fischer signalled in a speech on Sunday that a 2016 rate hike is still under consideration.Meanwhile, Bank of Japan Governor Haruhiko Kuroda said in an interview published Saturday in the Sankei newspaper that there is ""sufficient chance"" the bank will add to its massive easing at next month´s policy meeting.The benchmark Nikkei 225 index climbed 0.52 percent, or 85.41 points, to 16,631.23 in opening deals, while the broader Topix index of all first-section shares rose 0.54 percent, or 6.99 points, to 1,302.66.The dollar was trading at 100.59 yen in early Tokyo trade, up from 100.20 yen in New York.<br/>""We expect the US dollar to consolidate this week with a modest upside bias,"" Elias Haddad, a senior foreign-exchange strategist at Commonwealth Bank of Australia said, Bloomberg News reported.""There is room for US interest rate expectations to adjust a bit higher this week,"" Haddad said.Investors are also awaiting a series of US and Japanese economic data due this week for further clues on central bank policies, analysts said.""Investors will be focused on Fed Chair Janet Yellen´s speech at the Jackson Hole symposium (Friday), but we don´t expect her to provide any strong steer on the timing of the next rate hike,"" Capital Economics said in a note to clients.The annual gathering of US and foreign central bankers in the US state of Wyoming is closely watched for their comments on the state of the global economy and monetary policy.",2016-08-22
1554,Welspun scandal plummeting Egyptian cotton outpu,"strong>NEW YORK: A scandal involving the alleged sale of falsely labeled Egyptian cotton products by an Indian textile manufacturer to U.S. big box retailers highlights a stiff reality facing the high-end fiber market: there isn't much Egyptian cotton any more.</strongThe shortage of cotton from Egypt, which commands a premium due to its superior quality, creates an incentive to blend it with other types of cotton without disclosing it or to counterfeit the label altogether, cotton traders said, exacerbating a problem that has plagued the industry for years.Welspun India has lost 42 percent of its market value in the three days since Target Corp said it would sever ties with the textile manufacturer, one of the world's largest, accusing it of substituting cheaper, non-Egyptian cotton into sheets and pillowcases.Egyptian cotton is prized because much of it is ""long staple"" or ""extra long staple,"" meaning the length of the cotton fibers is longer, resulting in a finer, lighter more durable fabric and longer-lasting, higher-end clothing.While other countries including the United States and Australia produce larger quantities of high-end cotton than Egypt, cotton from the North African country has retained its prestige because of a long history growing the crop.But Egypt's cotton output has been declining for the past decade after farmers failed to adapt to shifting consumer demand for mass-produced items made from short- or medium-staple fiber, according to the U.S. Department of Agriculture (USDA).The decline has become a full-fledged crisis in recent years after the government removed cash subsidies, and many farmers replaced cotton acreage with rice, the USDA said.Egypt will produce just 160,000 480-lb bales of cotton in 2016/17, down from 1.4 million bales as recently as 2004/05, accounting for less than 0.2 percent of expected global output.This means some products marketed as containing Egyptian cotton almost certainly do not, or are blended with other types of cotton without proper disclosure, said Jordan Lea, chairman and co-owner of cotton merchant Eastern Trading in Greenville, South Carolina.""If you look at the volume of Egyptian goods that are for sale, and you look at the volume of Egyptian cotton that's produced, it would lead one to scratch one's head,"" Lea said.strong>A GOLD SEAL?</strongLong and extra long staple cotton is rare - it makes up just 2.5 percent of annual world cotton production of more than 100 million bales, according to the USDA - and trades at a substantial premium.U.S. extra long staple cotton, or ""pima,"" trades for 152.25 cents per lb, according to Thomson Reuters Eikon data, a 125 percent premium over cotton prices on ICE Futures U.S., a contract that accepts cotton of a ""strict low middling staple length"".Ron Lawson, a cotton industry veteran and broker with LOGIC Advisors in Sonoma, California, said he had ""no idea"" what Egyptian cotton prices were, which he said showed how much of a ""novelty"" item the fiber was.Improper labeling of cotton products including clothing and bedding is a violation of the U.S. Textile Act and Rules, which are enforced by the Federal Trade Commission (FTC).An FTC spokesman declined to comment on whether the agency was aware of Target's allegations or had started an investigation.Egypt's cotton association appears to be aware of widespread counterfeiting. In April, its executive director told trade publication Home and Textiles Today that it had tested retail products labeled 'Egyptian cotton' and found that 90 percent contained no Egyptian cotton at all.The Cotton Egypt Association lists Welspun as one of just three companies permitted to label its products with the association's ""Gold Seal,"" which was launched earlier this year and is meant to ensure authenticity.Mukesh Saviani, a Welspun executive, told the trade publication in February that the seal was ""an assurance to retailers that they will not get into any compliance issues.""The scandal could leave big box U.S. retailers wary of dealing with products labeled Egyptian cotton, potentially providing a boon to growers of U.S. Pima cotton in places like California and Arizona.""The Supima boys are doing backflips and pirouettes on their desks right now,"" Lawson said, referring to an association that provides a trademark indicating cotton products come from 100 percent American Pima cotton.",2016-08-25
1555,Maleeha Lodhi rings NY Stock Exchange closing b,"strong>NEW YORK: The Pakistani Ambassador to the United Nations, Dr. Maleeha Lodhi, Friday rang the closing bell at the NASDAQ Stock Exchange in New York to signal the ceremonial end of trading for the day on Wall Street, saying Pakistans economy is on the upswing as it pursues the most investor-friendly policies in the region.</strongPakistan is on the rise, she told traders and investors gathered at the impressive ceremony held in the Pakistan flag-bedecked NASDAQs office building in New Yorks Time Square to mark 70th year of the country establishment.The event was carried live on a giant screen overlooking the crowded iconic square as well as by major American television networks on their economic and financial segments.I am glad that NASDAQ today has gone green with the Pakistani flag, Ambassador Lodhi, herself dressed in green, said before pressing the button to set off the bell.We are open to business, and we are open to foreign investment, she said, adding she was honoured to represent Pakistan at NASDAQ on the Independence Day celebrations from the platform of the Pakistan-American Business Association (PABA).Our economy has achieved an impressive turnaround and is poised for rapid growth, the Pakistani envoy said. Economic stability had been achieved by an enabling environment of democratic consolidation and security gains. Pakistans foreign exchange reserves were up, inflation down and overseas remittances at record high.Our demographic profile of a youthful population gives Pakistan the ability to make a quantum leap in its development, Ambassador Lodhi said.We are embarked firmly on the path of realizing our vision to turn Pakistan into a regional hub, connecting the different regions it straddles by providing trade, energy and communications corridors.She also read out a special message from Prime Minister Muhammad Nawaz Sharif, saying, Pakistan has bright future powered by its hard-working people and a resilient democracy.Earlier, Andew Hall, a top NASDAQ official, introduced Ambassador Lodhi and congratulated the government and people of Pakistan on the Independence Day.",2016-08-26
1556,Dollar rises following Yellen remarks on rate hi,"strong>NEW YORK: The dollar rose Friday against the euro, the yen and the British pound following remarks from the US central bank favoring a near-term increase in interest rates.</strongIn a much-anticipated address, US Federal Reserve Chair Janet Yellen said the case had ""strengthened"" in recent months for a rate increase but did not clearly say when this could occur.Toward 2100 GMT, the euro was at $1.1195, down from $1.1281 on Thursday while the dollar rose to 101.77 yen, up from 100.55.The pound fell to $1.3135 from $1.3187. Christopher Vecchio, a currency analyst at DailyFX, said Yellen´s speech had given the dollar trade a needed shot in the arm on currency markets.""The US Dollar Index, mired in an apathetic lull the past several days, is in the midst of posting its widest daily trading range of the week on the back of Chair Yellen´s commentary,"" said Vecchio.US central bankers are due to meet again three times between now and the end of the year.",2016-08-27
1557,China G20 West derail agend,"strong>BEIJING: China is hoping to cement its standing as a global power when it hosts leaders from the world's biggest economies this weekend, but suspects the West and its allies will try to deny Beijing what it sees as its rightful place on the international stage.</strongEnsuring that this does not happen will be one of President Xi Jinping's priorities, and a key mark of how successful China will judge the G20 summit to be.Beijing wants to use the Sept 4-5 meeting in the tourist hub of Hangzhou to lay out a broad strategy for global growth, but talks are likely to be overshadowed by arguments over everything from territorial disputes to protectionism, diplomats said.""From where China sits, it looks like the Americans are trying to encircle them,"" said a senior Western envoy, describing conversations with Chinese officials ahead of G20 as being dominated by the South China Sea row and an advanced U.S. anti-missile system to be deployed in South Korea.In recent months, China has been incensed by a ruling against its claims in the South China Sea by an international court, a case initiated by Manila but blamed by Beijing on Washington.While China wants to make sure its highest profile event of the year goes off successfully, Xi will be under pressure at home to ensure he is strong in the face of challenges to his authority on issues like the South China Sea, going by reports in state media.China has already made clear it does not want such matters overshadowing the meeting, which will be attended by U.S. President Barack Obama, Japanese Prime Minister Shinzo Abe, and other world leaders.State media has given great play to the idea that G20 is for China to show leadership in shaping global governance rules and forging ahead with sustainable global growth, with the official People's Daily saying this could be one of the G20's most fruitful ever get-togethers.""Let's make cooperation ever higher,"" it wrote in a commentary last week.But the state-run Study Times wrote in mid-August that Western countries were trying to deliberately exclude a rising China and deny it a proper voice on the world stage with schemes like the U.S.-led Trans-Pacific Partnership.""Trying to get back their right to global governance, they are forging a new 'sacred alliance', striving to establish new rules,"" the influential paper, published twice a week by the Central Party School, wrote in a G20 commentary.""These new rules will exclude China.""strong>ANGERED BY BRITAIN, AUSTRALIA</strongOverseas, China has been angered by questions raised by Britain and Australia over strategic Chinese investments in their countries, saying it smacks of protectionism and paranoia.Australia has blocked the A$10 billion ($7.7 billion) sale of the country's biggest energy grid to Chinese bidders, while Britain has delayed a $24 billion Chinese-invested nuclear project.But Western officials have their own concerns about access for their companies in China and are increasingly not afraid to talk about it.Joerg Wuttke, the President of the European Union Chamber of Commerce in China, said there has been a change in tone as European officials having been expressing more dissatisfaction with China's overcapacity problems and a lack of reciprocal market access for European companies. ""It has reached the point where people are not afraid to speak up any more. They feel like they have to be tougher in front of their own constituencies,"" Wuttke told Reuters.A European official involved in trade issues with China expressed exasperation at China's attitude on protectionism.""The Chinese would shut you down at once if you said you wanted to buy one of their grids. You wouldn't get to the end of the sentence,"" the official added.None of this will make for plain sailing at G20.""China is angry with almost everyone at the moment,"" said a second Beijing-based Western diplomat familiar with the summit.To be sure, China does want G20 to go smoothly, said a third Western diplomat.""It's very important from the stance of national pride,"" said the diplomat, pointing out it was not uncommon for G20s to be hijacked by issues other than economics.""It's a minefield for China.""strong>JAPAN WORRIES</strongThen there is Japan, a country with which China has been embroiled in disputes for much of the last decade over their wartime past and a spat over a group of uninhabited islands in the East China Sea.Last week, China's top diplomat called on Japan to be ""constructive"" at G20, with the deeper fear in Beijing that Japan is angling to become involved in the South China Sea dispute as well, at the behest of its ally the United States.Wang Youming, the head of the developing countries program at the Foreign Ministry-backed China Institute of International Studies, wrote in the widely-read Chinese tabloid the Global Times that the closer G20 got, the more Japan was trying to cause trouble.""Japan is getting entangled in the South and East China Sea issues, cozying up to the Philippines, and urging China to respect the result of the so-called 'arbitration' case,"" Wang wrote.""Japan is up to its old tricks, and it's hard not to think they are trying to mess things up.""",2016-08-29
1558,PIA induct 2nd A 330 aircraft Premier Service next ,"strong>ISLAMABAD: The Pakistan International Airlines (PIA) has planned to induct second A 330 aircraft in its Premier Service launched on August 14 this year on London route during next month official sources said.</strongAll flights of London will be operated on airbus A 330 with the Premier Service, the sources told APP.Commenting on the future plan they informed that the third airbus was being planned to enroll in the Premier fleet in February2017. While the PIA would also be looking for the service expansion to other suggested international routes like Toronto New York Birmingham and Beijing, they added.At present they said the Premier Service flights from Islamabad to London were being operated on Monday, Wednesday and Sunday while from Lahore to London on Tuesday, Thursday and Saturday.Commenting on the return schedule they said the flights operated from London to Islamabad on Tuesday, Saturday and Sunday whereas from London to Lahore on Monday, Wednesday and Thursday.The aircraft is equipped with 38 business and 269 economy class seats LCD screens and flight entertainment with 250 channels and flat bed service for business passengers.In addition a complimentary limousine service is also being extended to the business class passengers at the Heathrow airport for their destinations within a radius of 25 kilometers.Currently the sources said the PIA fleet consisted of 38 aircraft including 11 A 320 Airbuses, five A 310 Airbuses, 11 Boeing 777, six ATR 42 and five ATR 72. Efforts are underway to further expand the fleet and hopefully its strength will reach 42 during the current financial year, they said.",2016-09-10
1559,Dollar wins support September rate hike ,"strong>TOKYO: The dollar´s rally against the euro and yen hit a wall Monday, but it rose against other Asia-Pacific currencies on renewed speculation that the Federal Reserve will hike interest rates this month.</strongGreenback demand picked up Friday after Boston Fed President Eric Rosengren said higher rates were needed to prevent the economy from overheating, while normally dovish Governor Daniel Tarullo also signalled his openness to a 2016 rate hike.""Rosengren´s comments were nothing new compared to remarks he´d made last month, but the fact they were repeated after the intervening US data run marked them out as significant,"" National Australia Bank said in a commentary.Their remarks came a day after the head of the European Central Bank played down the chances of fresh stimulus, while Japanese officials have kept markets guessing on the chances of new measures.A string of weak readings for the world´s top economy -- including service sectors activity and jobs growth -- had put off expectations of any tightening until December at the earliest.On Monday in Tokyo, the dollar was changing hands at 102.54 yen, slightly down from 102.69 yen in New York late Friday but still up from 102.09 yen in Asia Friday before the Fed officials´ comments.The euro rose to $1.1242 against $1.1232 in New York, while it eased to 115.28 yen from 115.35 yen.The dollar rallied 1.12 percent against the South Korean won, 0.9 percent on the Malaysian ringgit and 0.6 percent versus the Indonesian rupiah.Investors are now waiting for a speech later Monday by Lael Brainard, a dovish member of the Fed board, with speculation swirling that she will give yet another signal for a rate hike.""Traders have convinced themselves the Feds are marching out Lael Brainard, a mega-dove, to bang the Fed´s September rate hike drum,"" said Stephen Innes, senior trader forex firm OANDA.",2016-09-12
1560,US seeks 14 bn from Deutsche Bank over mortgage bond,"strong>NEW YORK: Authorities in the US are seeking as much as $14 billion from Deutsche Bank to resolve allegations stemming from the sale of mortgage securities in the 2008 crisis, the German financial giant confirmed Thursday.</strongThe payout would be the largest ever inflicted on a foreign bank in the United States, easily surpassing the $8.9 billion that the French bank BNP Paribas paid in 2014 for sanctions violations.But in a quick reaction, Deutsche Bank rejected the $14 billion figure, which the bank said was an opening proposal in settlement talks with US prosecutors.""Deutsche Bank has no intent to settle these potential civil claims anywhere near the number cited,"" the statement said.""The negotiations are only just beginning. The bank expects that they will lead to an outcome similar to those of peer banks which have settled at materially lower amounts.""The US investment bank Goldman Sachs in April agreed to pay more than $5 billion to settle similar allegations.US authorities have accused major banks of misleading investors about the values and quality of complex mortgage-backed securities sold before the 2008 financial crisis.Much of the underlying lending was worthless or fraudulent, delivering billions of dollars in losses to holders of the mortgage bonds when the housing market collapsed, bringing down numerous banks and touching off the country´s worst recession since the 1930s.According to securities filings, Deutsche Bank as of June 30 had set aside $5.5 billion to resolve pending legal matters. In the mortgage-backed securities matter, the bank is aiming for an amount between $2 billion and $3 billion, according to knowledgeable sources.The US Justice Department declined to comment.Bank of America in 2014 paid out nearly $17 billion in a related enforcement action but federal authorities have faced stinging criticism for failing to hold individuals to account.In recent years, Deutsche Bank has found itself mired litigation and enforcement actions around the world.US market regulators last year fined the German lender $55 million, concluding that it had overvalued its holdings of credit derivatives by at least $15 billion during the financial crisis.In 2015 and 2016 Deutsche Bank failed so-called stress tests conducted by the US central bank that were designed to determine whether it had adequate capital strength to weather shocks such as those of the financial crisis.In June, the International Monetary Fund described the bank as a ""major systemic risk,"" leaving its chief executive John Cryan to strive to convince markets that Deutsche Bank was bound to recover.In April of last year, Deutsche Bank also paid a record $2.5 billion to settle American and British charges that it had manipulated the London Interbank Offered Rate, or Libor, affecting commercial interest rates.The bank also settled with the US Fed and New York´s Department of Financial Services of alleged sanctions violations in Syria and Iran.In July Deutsche Bank posted a 98 percent year-on-year drop in second-quarter profits, with net earnings recorded at only $22 million, which Cryan, the bank´s chief, attributed to ""sustained restructuring.""Cryan plans to cut 9,000 jobs worldwide by 2020, while the bank´s share price has fallen to around 10 percent of its pre-crisis value.",2016-09-16
